stopId+,stopName,stopLat+,stopLon+
10001,Cabrillo National Monument,32.67445793,-117.2404257
10003,Pearl St & Draper Av,32.83957829,-117.2761868
10004,Pearl St & Fay Av,32.84012848,-117.2738099
10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.2686732
10007,Torrey Pines Rd & Hillside Dr,32.84931178,-117.2617516
10011,Garnet Av & Everts St,32.79810093,-117.2482501
10012,Grand Av & Fanuel St,32.79652904,-117.2458339
10013,Garnet Av & Haines St,32.79929398,-117.2427736
10015,Garnet Av & Ingraham St,32.79965017,-117.2412025
10016,Garnet Av & Jewell St,32.80012359,-117.2390632
10020,Voltaire St & Mendocino St,32.74506671,-117.235749
10023,Garnet Av & Lamont St,32.80087716,-117.2355667
10024,Voltaire St & San Clemente St,32.74286905,-117.2335356
10025,Garnet Av & Noyes St,32.8017129,-117.2317488
10026,Chatsworth Bl & Tennyson St,32.73814733,-117.229704
10027,Voltaire St & Poinsettia Dr,32.74025595,-117.2292949
10029,West Point Loma Bl & Adrian St,32.75266115,-117.2267331
10031,Nimitz Bl & Rosecrans St,32.72894288,-117.2265353
10032,Grand Av & Culver St,32.80091313,-117.2258494
10033,West Point Loma Bl & Loma Riviera Dr,32.75340225,-117.2240774
10034,Nobel Dr & Lebon Dr,32.86829317,-117.2251832
10036,Garnet Av & Bond St,32.805504,-117.2212138
10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938
10040,Midway Dr & Duke St,32.75392997,-117.2181407
10043,Midway Dr & Kemper St,32.75243625,-117.2158474
10044,Grand Av & Mission Bay Dr,32.8022735,-117.2178391
10045,Balboa Av & Moraga Av,32.80774389,-117.2106967
10048,Morena Bl & Frankfort St,32.77468641,-117.206214
10049,Governor Dr & Radcliffe Dr,32.85434508,-117.2061059
10050,Morena Bl & Knoxville St,32.77332666,-117.2039837
10051,Clairemont Dr & Merrimac Av,32.83307178,-117.2028667
10052,Clairemont Mesa Bl & Rolfe Rd,32.82813607,-117.2024259
10053,Clairemont Mesa Bl & Kleefeld Av,32.83271099,-117.2008216
10057,Milton St & Garfield Rd,32.78331677,-117.1969467
10058,Milton St & Dunhaven St,32.78264602,-117.1958853
10060,Milton St & Penrose St,32.78223386,-117.1947942
10062,Linda Vista Rd & Colusa St,32.76890946,-117.1911378
10063,Milton St & August St,32.78226189,-117.1911243
10064,Taylor St & I-8 East (Ramp),32.75925323,-117.1905044
10073,Clairemont Mesa Bl & Longford St,32.83432122,-117.1828549
10074,Miramar Rd & Miramar Mall,32.8768838,-117.1829903
10075,N Harbor Dr & Laurel St (Coast Guard),32.72778181,-117.1822865
10076,Lewis St & Stephens St,32.75171067,-117.1786106
10077,Clairemont Mesa Bl & Limerick Av,32.83427737,-117.1791919
10080,Lewis St & Ingalls St,32.7517283,-117.1751663
10082,Osler St & Ulric St,32.79257078,-117.1730344
10084,Osler St & Genesee Av,32.7928933,-117.1714368
10085,Miramar Rd & Milch Rd,32.87793669,-117.1686566
10086,Broadway & State St,32.7155689,-117.1666847
10088,Washington St & Albatross St,32.74977421,-117.166312
10090,Broadway & Front St,32.71559826,-117.1649521
10091,Clairemont Mesa Bl & Shawline St (Kaiser),32.83281806,-117.1629573
10092,University Av & 3rd Av,32.74819693,-117.1629261
10093,Genesee Av & Richland St,32.79116236,-117.1632153
10094,Broadway & 3rd Av,32.71561383,-117.1621074
10095,Miramar Rd & Distribution Av,32.87896273,-117.1626088
10097,Broadway & 5th Av,32.71566019,-117.160297
10098,University Av & 5th Av,32.74820876,-117.1605812
10099,Broadway & 6th Av,32.71566351,-117.1594745
10100,Camino De La Reina & Camino Del Arroyo,32.76674662,-117.1584631
10105,Market St & 10th Av,32.71143588,-117.1557961
10106,University Av & 10th Av,32.74831789,-117.155463
10107,Miramar Rd & Carroll Rd,32.88177728,-117.1562503
10108,Market St & Park Bl,32.71146838,-117.1539889
10109,Broadway & Park Bl,32.71570092,-117.1540128
10110,Vista Hill Av & Meadowlark Av,32.79485118,-117.1545878
10111,University Av & Vermont St,32.74834756,-117.1536647
10113,Broadway & 14th St,32.71568894,-117.15227
10114,University Av & Richmond St,32.74836182,-117.1513394
10115,Imperial Av & 16th St,32.70621434,-117.1497024
10116,Market St & 16th St,32.71142899,-117.1496028
10117,Logan Av & Sigsbee St,32.7038153,-117.1477599
10118,Market St & 19th St,32.7114408,-117.1468492
10119,Broadway & 20th St,32.71572127,-117.1459499
10120,Market St & 21st St,32.71146493,-117.1450419
10121,Adams Av & Georgia St,32.76241087,-117.1451073
10122,Logan Av & Cesar E Chavez Pkwy,32.70154139,-117.1444795
10123,Imperial Av & 22nd St,32.70621679,-117.1440751
10124,Miramar Rd & Dowdy Dr,32.88803742,-117.1454507
10127,Imperial Av & 24th St,32.70622508,-117.1425505
10128,Clairemont Mesa Bl & 8303,32.83266088,-117.1461407
10129,El Cajon Bl & Alabama St,32.75513971,-117.1426362
10130,University Av & Alabama St,32.74837212,-117.1427401
10132,Miramar Rd & Cabot Dr,32.88957656,-117.1427951
10133,Market St & 25th St,32.71151504,-117.1403966
10134,Broadway & 25th St,32.71575334,-117.1407646
10136,University Av & Louisiana St,32.74837408,-117.1401869
10137,Imperial Av & 26th St,32.70630307,-117.1382212
10138,C St & 26th St,32.71680461,-117.1382912
10139,El Cajon Bl & Arizona St,32.7551642,-117.1377184
10140,Adams Av & Arizona St,32.76280518,-117.1377011
10142,Mira Mesa Bl & Reagan Rd (E),32.9126689,-117.1390704
10143,Main St & 27th St,32.6927249,-117.1360041
10145,Ocean View Bl & Sampson St,32.70214509,-117.1354747
10147,Imperial Av & Hensley St,32.70632038,-117.1346649
10148,C St & 28th St,32.71683051,-117.1343054
10149,Mira Mesa Bl & Westonhill Dr,32.91274479,-117.1357736
10150,El Cajon Bl & Utah St,32.75517721,-117.1328396
10151,University Av & Utah St,32.74836023,-117.1329339
10154,National Av & 29th St,32.69585228,-117.1322292
10156,Balboa Av & Ponderosa Av,32.82211287,-117.131906
10157,Aero Dr & Corporate Ct,32.80974365,-117.132036
10158,Market St & 30th St,32.71156459,-117.1304326
10159,Clairemont Mesa Bl & Overland Av,32.83126451,-117.131262
10160,Adams Av & 30th St,32.76282743,-117.1303757
10161,University Av & 30th St,32.7483355,-117.1302406
10162,Upas St & 30th St,32.74102988,-117.1294814
10163,Ocean View Bl & 30th St,32.70111472,-117.1296683
10164,Imperial Av & 30th St,32.70634271,-117.129623
10165,Main St & 30th St,32.69275093,-117.1292956
10166,C St & 30th St,32.71680897,-117.1304004
10167,Beech St & Fern St,32.72122117,-117.1295114
10168,Mira Mesa Bl & Marbury Av,32.91589478,-117.1299724
10169,Adams Av & Boundary St,32.76283621,-117.1283719
10171,Market St & 31st St,32.71157701,-117.1275328
10176,Balboa Av & Ruffin Rd,32.82219862,-117.1287461
10177,Ocean View Bl & 32nd St,32.7011366,-117.1254362
10178,Imperial Av & 32nd St,32.7063728,-117.1253939
10179,Market St & 32nd St,32.71159492,-117.1254002
10180,Clairemont Mesa Bl & Ruffin Rd,32.83127549,-117.1270169
10182,Camino Del Rio N & Mission City Pkwy,32.77551596,-117.1270896
10183,Clairemont Mesa Bl & Ruffin Rd,32.83132755,-117.1262654
10184,Market St & 33rd St,32.71168209,-117.1224069
10186,Ocean View Bl & 33rd St,32.70115313,-117.1227155
10187,Imperial Av & 33rd St,32.70666939,-117.1227149
10188,Adams Av & 33rd St,32.76329493,-117.1229896
10189,El Cajon Bl & 33rd St,32.75515457,-117.1224991
10190,El Cajon Bl & 35th St,32.75515393,-117.1175225
10191,Aero Dr & West Canyon Av,32.80835573,-117.1231304
10194,Camino Del Rio S & Scheidler Wy,32.77667102,-117.1203925
10195,National Av & 35th St,32.69594054,-117.1190266
10196,El Cajon Bl & 35th St,32.75513002,-117.1181858
10197,National Av & 36th St,32.6959479,-117.1171999
10198,Adams Av & 35th St,32.76325179,-117.1174135
10201,El Cajon Bl & 36th St,32.75512983,-117.1158666
10203,Imperial Av & 37th St,32.7048041,-117.1147774
10204,El Cajon Bl & 37th St,32.75509992,-117.1138594
10205,National Av & 38th St,32.69597766,-117.112565
10206,Ocean View Bl & 38th St,32.70121027,-117.1126422
10207,Imperial Av & 38th St,32.70481068,-117.1126612
10208,University Av & 38th St,32.74964632,-117.1119748
10209,El Cajon Bl & 38th St,32.75507993,-117.112002
10210,Camino Del Rio S & 3661,32.77785771,-117.1154068
10214,National Av & 40th St,32.69601305,-117.1082812
10215,Carmel Mountain Rd & Freeport Rd,32.96068595,-117.1110058
10216,Imperial Av & 40th St,32.70475529,-117.1087824
10219,Home Av & Hixson Av,32.72434645,-117.1052471
10220,National Av & 41st St,32.69602495,-117.106175
10221,Market St & Morrison St,32.71138957,-117.1057065
10223,Ocean View Bl & San Miguel Av,32.70048297,-117.1045962
10224,Adams Av & Biona Dr,32.76317276,-117.1043163
10225,Market St & Denby St,32.71139783,-117.102927
10227,National Av & San Pasqual St,32.69641482,-117.1030616
10228,8th St & F Av,32.67756198,-117.1004061
10229,Carmel Mountain Rd & Stoney Creek Rd,32.96337085,-117.103129
10230,Home Av & Fairmount Av,32.728334,-117.1001546
10231,Ocean View Bl & Elizabeth St,32.70045362,-117.0992974
10232,Imperial Av & 45th St,32.70406208,-117.0981456
10235,Logan Av & 47th St,32.69670801,-117.0932023
10236,Ocean View Bl & 47th St,32.70040491,-117.0939821
10237,Zion Av & Crawford St (Kaiser),32.79289558,-117.0942567
10238,University Av & 47th St,32.74947427,-117.0935219
10241,Zion Av & Seaman St,32.79291256,-117.0921743
10242,University Av & Estrella Av,32.74945296,-117.090201
10243,El Cajon Bl & Estrella Av,32.75623028,-117.0902721
10247,El Cajon Bl & 50th St,32.75669001,-117.0869294
10248,Zion Av & Winona Av,32.79283799,-117.0853498
10250,El Cajon Bl & 54th St,32.75787567,-117.0786266
10252,University Av & 52nd St,32.74899361,-117.0837698
10253,Zion Av & 51st St,32.79283556,-117.0836772
10254,E St & 3rd Av,32.64451482,-117.0817719
10255,Olvera Av & Gwen St,32.69784545,-117.0815307
10256,Zion Av & Waring Rd,32.79280044,-117.0815487
10257,El Cajon Bl & 54th St,32.7576761,-117.0796949
10258,Montezuma Rd & 54th St,32.77105299,-117.0797038
10259,Olvera Av & San Onofre Ter,32.69880564,-117.0777106
10260,El Cajon Bl & Dayton St,32.75814842,-117.0768922
10261,Grape St & 55th St,32.72760644,-117.0769926
10262,College Av & El Cajon Bl,32.76195317,-117.0668634
10263,Olvera Av & Las Flores Ter,32.69935486,-117.0749105
10264,Roswell St & Kelton Rd,32.71581815,-117.0753507
10266,Streamview Dr & Lynn St,32.7434085,-117.0712963
10267,Market St & Merlin Dr,32.70999972,-117.0716258
10268,Skyline Dr & Radio Dr,32.70141969,-117.0710972
10271,Rancho Bernardo Rd & Acena Dr,33.02266727,-117.0705343
10272,Del Sol Bl & Ocean Bluffs,32.57376204,-117.0630382
10273,Imperial Av & 62nd St,32.70967287,-117.0641325
10274,Montezuma Rd & 63rd St,32.77041066,-117.0647296
10276,Imperial Av & 63rd St,32.7098784,-117.0625577
10277,Rancho Bernardo Rd & Bernardo Oaks Dr,33.01928995,-117.0654591
10278,Streamview Dr & Hasty Dr,32.74399002,-117.0612949
10279,Rancho Bernardo Rd & Meandro Dr,33.01854372,-117.0631652
10280,Skyline Dr & Detroit Pl,32.70122966,-117.0590972
10284,Montezuma Rd & Reservoir Dr,32.76907119,-117.0573456
10286,Imperial Av & Woodman St,32.71071811,-117.0556375
10287,Skyline Dr & Woodman St,32.70117147,-117.055391
10288,University Av & Aragon Dr,32.7552306,-117.0538522
10290,El Cajon Bl & Montezuma Rd,32.76813892,-117.0544808
10291,Imperial Av & 68th St,32.71125466,-117.0513283
10292,Imperial Av & 69th St,32.71180223,-117.0495386
10293,Skyline Dr & 69th St,32.70251753,-117.0495845
10294,University Av & 69th St,32.75506844,-117.0496223
10296,Skyline Dr & Buccaneer Dr,32.7027509,-117.0449478
10299,Skyline Dr & Sychar Rd,32.70316505,-117.0429491
10303,El Cajon Bl & 73rd St,32.76872907,-117.0405659
10306,El Cajon Bl & Jessie Av,32.76863289,-117.0379853
10307,Skyline Dr & Siena St,32.70287961,-117.0373098
10308,University Av & Lowell St,32.75740049,-117.0374489
10310,El Cajon Bl & Parks Av,32.76819913,-117.0335897
10311,Jackson Dr & Lake Shore Dr,32.79785878,-117.0352106
10312,Jamacha Rd & Glencoe Dr,32.71536671,-117.0320113
10313,Main St & Broadway (Lemon Grove Depot),32.74249573,-117.0309154
10314,University Av & Maple Av,32.76195824,-117.0304081
10315,Jackson Dr & Cowles Mountain Bl,32.795305,-117.0283346
10317,University Av & La Mesa Bl,32.76414544,-117.0270184
10318,Paradise Valley Rd & Meadowbrook Dr,32.69767706,-117.0251096
10319,Jamacha Rd & Cardiff St,32.71754502,-117.0261166
10320,University Av & Allison Av,32.76577668,-117.0250484
10321,San Vicente St & Cardiff St,32.71215697,-117.024967
10322,Jackson Dr & Lake Badin Av,32.79404489,-117.0241713
10324,Allison Av & Spring St,32.76596372,-117.0215172
10325,Jackson Dr & Boulder Lake Av,32.79354688,-117.0207436
10326,Allison Av & Palm Av,32.7659153,-117.0195877
10328,La Mesa Bl & University Av,32.76780465,-117.0154272
10330,Sweetwater Rd & Jamacha Rd,32.71422822,-117.0128
10331,La Mesa Bl & Glen St,32.76934368,-117.0110033
10332,Orville St & Brucker Av,32.70916815,-117.0092549
10333,La Mesa Bl & Jackson Dr,32.77042545,-117.0085077
10334,Navajo Rd & Jaffe Ct,32.8027961,-117.0086726
10336,La Mesa Bl & Garfield St,32.77230406,-117.0060416
10346,Pearl St & La Jolla Bl,32.83915156,-117.2779237
10347,Silverado St & Herschel Av,32.84518365,-117.2734063
10349,Torrey Pines Rd & Prospect St,32.84741114,-117.2669428
10351,Turquoise St & La Jolla Bl,32.80809277,-117.2613105
10357,Grand Av & Bayard St,32.79503048,-117.2526996
10358,Garnet Av & Cass St,32.79737632,-117.251519
10359,W Mission Bay Dr & Mission Bl,32.77191447,-117.2504259
10360,Grand Av & Cass St,32.79542712,-117.2509013
10361,W Mission Bay Dr & Mariners Wy,32.77088084,-117.2467119
